Unnið 25/02/2015,Íbúðaverð í fjölbýli - ársmeðaltöl,,,,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.,,,
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²),,,
"Innan Hringbrautar og Snorrrabrautar, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,188.0,82.0,4806.0,4281.0,60316.0,53598.0,,,
1991.0,190.0,82.0,5348.0,4627.0,68976.0,59610.0,,,
1992.0,295.0,80.0,5784.0,5192.0,75742.0,67907.0,,,
1993.0,312.0,79.0,5672.0,5157.0,75319.0,68339.0,,,
1994.0,384.0,83.0,6032.0,5751.0,76209.0,72610.0,,,
1995.0,384.0,82.0,5918.0,5499.0,75074.0,69878.0,,,
1996.0,499.0,80.0,5832.0,5450.0,76719.0,71728.0,,, 
1997.0,553.0,85.0,6473.0,6105.0,79021.0,74538.0,,,
1998.0,532.0,84.0,6732.0,6575.0,82986.0,81089.0,,,
1999.0,700.0,85.0,7814.0,7790.0,96319.0,96126.0,,,
2000.0,599.0,83.0,9218.0,8768.0,116038.0,110234.0,,,
2001.0,515.0,82.0,9935.0,9279.0,124160.0,115929.0,,,
2002.0,585.0,84.0,10889.0,10212.0,134949.0,126419.0,,,
2003.0,673.0,86.0,12054.0,11863.0,144400.0,142374.0,,,
2004.0,715.0,83.0,13271.0,13201.0,163883.0,163234.0,,,
2005.0,673.0,83.0,17837.0,17725.0,219187.0,217952.0,,,
2006.0,475.0,81.0,20850.0,20503.0,256117.0,252296.0,,,
2007.0,625.0,81.0,23805.0,23283.0,294310.0,288428.0,,,
2008.0,222.0,81.0,25000.0,24263.0,308518.0,300409.0,,,
2009.0,119.0,87.0,24192.0,23403.0,279095.0,270012.0,,,
2010.0,172.0,85.0,22128.0,21728.0,261884.0,256696.0,,,
2011.0,279.0,89.0,23174.0,22811.0,266639.0,262253.0,,,
2012.0,396.0,89.0,27686.0,27227.0,308699.0,303492.0,,,
2013.0,391.0,86.0,29747.0,29326.0,340768.0,335950.0,,,
2014.0,411.0,88.0,33754.0,33221.0,382146.0,377166.0,,,
,,,,,,,,,
"Melar og Hagar, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,90.0,92.0,6142.0,5539.0,68581.0,61580.0,,,
1991.0,80.0,96.0,7146.0,6192.0,76317.0,65958.0,,,
1992.0,100.0,92.0,7024.0,6377.0,78504.0,71292.0,,,
1993.0,85.0,99.0,7459.0,6763.0,79531.0,71896.0,,,
1994.0,132.0,97.0,7257.0,6894.0,77465.0,73808.0,,,
1995.0,115.0,97.0,7326.0,6817.0,76669.0,71413.0,,,
1996.0,150.0,92.0,7130.0,6677.0,79950.0,74906.0,,,
1997.0,136.0,91.0,7263.0,6820.0,82317.0,77237.0,,,
1998.0,134.0,95.0,7782.0,7588.0,84749.0,82683.0,,,
1999.0,152.0,95.0,8932.0,8876.0,96645.0,96114.0,,,
2000.0,126.0,92.0,10508.0,9949.0,116850.0,110528.0,,,
2001.0,147.0,95.0,11835.0,11060.0,128092.0,119464.0,,,
2002.0,145.0,97.0,12538.0,11714.0,131528.0,122575.0,,,
2003.0,137.0,96.0,13197.0,12955.0,140494.0,138057.0,,,
2004.0,172.0,97.0,15229.0,15126.0,160934.0,160068.0,,,
2005.0,157.0,93.0,19023.0,18909.0,209270.0,208241.0,,,
2006.0,124.0,99.0,23436.0,23071.0,239457.0,235873.0,,,
2007.0,119.0,94.0,25739.0,25197.0,275600.0,270349.0,,,
2008.0,65.0,97.0,28005.0,27054.0,289602.0,280519.0,,,
2009.0,35.0,109.0,28041.0,26990.0,269092.0,259374.0,,,
2010.0,54.0,102.0,23978.0,23478.0,239661.0,234077.0,,,
2011.0,95.0,99.0,26068.0,25679.0,269008.0,264859.0,,,
2012.0,99.0,103.0,29078.0,28783.0,283757.0,280623.0,,,
2013.0,106.0,108.0,33356.0,32956.0,314623.0,310873.0,,,
2014.0,91.0,101.0,34352.0,33952.0,351425.0,347784.0,,,
,,,,,,,,,
"Grandar, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,66.0,80.0,6103.0,5312.0,78973.0,68319.0,,,
1991.0,68.0,84.0,6752.0,5821.0,83634.0,72183.0,,,
1992.0,61.0,77.0,6745.0,5995.0,92207.0,81756.0,,,
1993.0,42.0,77.0,6599.0,6008.0,89523.0,81132.0,,,
1994.0,63.0,101.0,7424.0,6969.0,88106.0,82930.0,,,
1995.0,82.0,83.0,6944.0,6341.0,87267.0,79999.0,,,
1996.0,80.0,79.0,6532.0,6038.0,85616.0,79218.0,,,
1997.0,80.0,84.0,7058.0,6591.0,87316.0,81507.0,,,
1998.0,107.0,82.0,7003.0,6787.0,89617.0,86836.0,,,
1999.0,93.0,84.0,8171.0,8120.0,101177.0,100560.0,,,
2000.0,95.0,92.0,10084.0,9555.0,115124.0,109198.0,,,
2001.0,83.0,90.0,11031.0,10282.0,128169.0,119401.0,,,
2002.0,92.0,89.0,11059.0,10279.0,129275.0,120146.0,,,
2003.0,104.0,89.0,11911.0,11709.0,139838.0,137490.0,,,
2004.0,117.0,93.0,13301.0,13227.0,150684.0,149940.0,,,
2005.0,93.0,90.0,17318.0,17232.0,200207.0,199418.0,,,
2006.0,80.0,87.0,18704.0,18454.0,223128.0,220433.0,,,
2007.0,113.0,94.0,22846.0,22410.0,249872.0,245316.0,,,
2008.0,33.0,89.0,22318.0,21622.0,263331.0,255284.0,,,
2009.0,19.0,81.0,19421.0,18635.0,251311.0,241278.0,,,
2010.0,37.0,93.0,19746.0,19331.0,223064.0,219037.0,,,
2011.0,61.0,85.0,20697.0,20201.0,253427.0,247620.0,,,
2012.0,69.0,92.0,23305.0,22879.0,262321.0,257831.0,,,
2013.0,76.0,89.0,25137.0,24817.0,294968.0,291245.0,,,
2014.0,58.0,90.0,28769.0,28326.0,332150.0,327355.0,,,
,,,,,,,,,
"Hlíðar, Reykjavík",,,,,,,,,
,,,,,,,,,
1994.0,82.0,102.0,7409.0,7040.0,75750.0,72189.0,,,
1995.0,68.0,98.0,7243.0,6718.0,75732.0,70170.0,,,
1996.0,149.0,100.0,7186.0,6680.0,74428.0,69119.0,,,
1997.0,136.0,97.0,7187.0,6780.0,76638.0,72426.0,,,
1998.0,170.0,94.0,7209.0,7011.0,81260.0,79070.0,,,
1999.0,188.0,94.0,8432.0,8388.0,92932.0,92543.0,,,
2000.0,137.0,95.0,10388.0,9790.0,111346.0,104732.0,,,
2001.0,142.0,90.0,10745.0,9965.0,124474.0,115499.0,,,
2002.0,144.0,97.0,11799.0,10974.0,125686.0,116808.0,,,
2003.0,150.0,110.0,14125.0,13894.0,139481.0,137362.0,,,
2004.0,210.0,99.0,15303.0,15197.0,157929.0,157084.0,,,
2005.0,163.0,94.0,18963.0,18827.0,206009.0,204735.0,,,
2006.0,145.0,95.0,20632.0,20263.0,222197.0,218542.0,,,
2007.0,154.0,99.0,24585.0,24090.0,255665.0,250737.0,,,
2008.0,63.0,94.0,24925.0,24124.0,273102.0,264286.0,,,
2009.0,36.0,106.0,25306.0,24208.0,241825.0,231545.0,,,
2010.0,64.0,101.0,22230.0,21634.0,229137.0,222736.0,,,
2011.0,97.0,96.0,22468.0,21953.0,241826.0,236408.0,,,
2012.0,109.0,101.0,25669.0,25318.0,263033.0,259080.0,,,
2013.0,113.0,97.0,27749.0,27286.0,292416.0,287831.0,,,
2014.0,122.0,102.0,30904.0,30556.0,315628.0,312075.0,,,
,,,,,,,,,
"Háaleitisbraut, Reykjavík",,,,,,,,,
,,,,,,,,,
1994.0,16.0,102.0,7137.0,6695.0,71207.0,66878.0,,,
1995.0,48.0,105.0,7114.0,6632.0,71106.0,66538.0,,,
1996.0,41.0,107.0,7174.0,6625.0,68872.0,63762.0,,,
1997.0,44.0,99.0,6858.0,6347.0,71550.0,66313.0,,,
1998.0,41.0,97.0,7168.0,6945.0,76494.0,74143.0,,,
1999.0,51.0,102.0,8645.0,8606.0,88404.0,87983.0,,,
2000.0,30.0,96.0,10130.0,9537.0,107656.0,101380.0,,,
2001.0,38.0,109.0,11509.0,10656.0,108050.0,100060.0,,,
2002.0,40.0,98.0,11114.0,10358.0,117423.0,109812.0,,,
2003.0,39.0,109.0,12273.0,12058.0,117605.0,115687.0,,,
2004.0,47.0,102.0,13677.0,13613.0,139014.0,138506.0,,,
2005.0,36.0,102.0,17608.0,17509.0,177895.0,176991.0,,,
2006.0,31.0,101.0,19456.0,19253.0,199320.0,197220.0,,,
2007.0,43.0,110.0,22834.0,22435.0,214754.0,211331.0,,,
2008.0,15.0,95.0,21703.0,21122.0,240137.0,233373.0,,,
2009.0,5.0,120.0,23380.0,22614.0,204771.0,195338.0,,,
2010.0,15.0,113.0,21753.0,21170.0,193887.0,189369.0,,,
2011.0,22.0,106.0,20918.0,20819.0,205683.0,204822.0,,,
2012.0,12.0,98.0,22402.0,22137.0,238926.0,235473.0,,,
2013.0,33.0,106.0,25054.0,24668.0,246496.0,242823.0,,,
2014.0,29.0,105.0,27850.0,27657.0,274462.0,272666.0,,,
,,,,,,,,,
"Lönd, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,34.0,89.0,6666.0,6066.0,77425.0,70238.0,,,
1991.0,45.0,83.0,6986.0,6192.0,86807.0,76730.0,,,
1992.0,31.0,89.0,7876.0,7066.0,90683.0,81330.0,,,
1993.0,31.0,84.0,7366.0,6690.0,90082.0,81483.0,,,
1994.0,48.0,97.0,7886.0,7431.0,86787.0,81859.0,,,
1995.0,40.0,86.0,7062.0,6556.0,84544.0,78748.0,,,
1996.0,37.0,91.0,7588.0,7055.0,86153.0,80259.0,,,
1997.0,38.0,87.0,7500.0,7043.0,89419.0,84173.0,,,
1998.0,71.0,83.0,7171.0,6963.0,90063.0,87625.0,,,
1999.0,53.0,79.0,8161.0,8143.0,105606.0,105492.0,,,
2000.0,62.0,80.0,10036.0,9542.0,128640.0,122286.0,,,
2001.0,47.0,94.0,11921.0,11129.0,130980.0,122359.0,,,
2002.0,37.0,78.0,10762.0,10091.0,140472.0,131755.0,,,
2003.0,51.0,91.0,12883.0,12660.0,148456.0,146234.0,,,
2004.0,70.0,84.0,13901.0,13815.0,170959.0,170043.0,,,
2005.0,41.0,86.0,18554.0,18340.0,218264.0,216509.0,,,
2006.0,51.0,93.0,22587.0,22308.0,245342.0,243043.0,,,
2007.0,60.0,87.0,23634.0,23368.0,277228.0,274431.0,,,
2008.0,19.0,74.0,21342.0,21015.0,295114.0,290815.0,,,
2009.0,14.0,79.0,18975.0,18499.0,255794.0,248257.0,,,
2010.0,29.0,89.0,20857.0,20419.0,237853.0,233567.0,,,
2011.0,43.0,96.0,24020.0,23633.0,259422.0,255054.0,,,
2012.0,36.0,91.0,23697.0,23368.0,264626.0,260647.0,,,
2013.0,36.0,94.0,27265.0,26975.0,297348.0,294266.0,,,
2014.0,51.0,97.0,30968.0,30712.0,331514.0,328772.0,,,
,,,,,,,,,
"Teigar og Tún, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,35.0,100.0,6147.0,5488.0,63664.0,56752.0,,,
1991.0,31.0,110.0,7463.0,6534.0,69339.0,60290.0,,,
1992.0,26.0,87.0,6544.0,5821.0,78835.0,69816.0,,,
1993.0,28.0,88.0,6372.0,5880.0,73222.0,67582.0,,,
1994.0,55.0,89.0,6332.0,6040.0,74420.0,71118.0,,,
1995.0,72.0,96.0,6856.0,6382.0,75538.0,70468.0,,,
1996.0,86.0,99.0,7528.0,7016.0,79601.0,73973.0,,,
1997.0,92.0,93.0,6958.0,6507.0,80583.0,75150.0,,,
1998.0,105.0,87.0,6824.0,6701.0,81062.0,79696.0,,,
1999.0,125.0,103.0,9721.0,9513.0,97371.0,95838.0,,,
2000.0,161.0,99.0,10990.0,10363.0,113322.0,106746.0,,,
2001.0,92.0,99.0,11736.0,10921.0,121829.0,113347.0,,,
2002.0,168.0,106.0,13964.0,13175.0,134829.0,127028.0,,,
2003.0,109.0,108.0,15182.0,14935.0,142539.0,140340.0,,,
2004.0,128.0,92.0,13970.0,13831.0,154886.0,153557.0,,,
2005.0,136.0,93.0,19438.0,19134.0,208907.0,206346.0,,,
2006.0,112.0,98.0,24046.0,23397.0,243647.0,238301.0,,,
2007.0,135.0,98.0,27063.0,26403.0,279705.0,273363.0,,,
2008.0,46.0,98.0,26753.0,26083.0,274766.0,267417.0,,,
2009.0,21.0,79.0,19658.0,18926.0,250900.0,241874.0,,,
2010.0,33.0,90.0,21578.0,21042.0,244570.0,238706.0,,,
2011.0,96.0,98.0,26561.0,25979.0,266520.0,260350.0,,,
2012.0,93.0,98.0,26124.0,25678.0,265947.0,261738.0,,,
2013.0,97.0,99.0,27685.0,27300.0,289704.0,285891.0,,,
2014.0,115.0,91.0,28417.0,28088.0,318476.0,314987.0,,,
,,,,,,,,,
"Vogar, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,43.0,89.0,5475.0,4844.0,64483.0,56258.0,,,
1991.0,30.0,93.0,6628.0,5726.0,72328.0,62343.0,,,
1992.0,24.0,87.0,6688.0,5936.0,79008.0,69836.0,,,
1993.0,24.0,85.0,6390.0,5841.0,77037.0,70451.0,,,
1994.0,53.0,90.0,6511.0,6184.0,75805.0,71878.0,,,
1995.0,40.0,88.0,6501.0,6031.0,77401.0,71800.0,,,
1996.0,56.0,97.0,7038.0,6562.0,75404.0,70246.0,,,
1997.0,47.0,90.0,6784.0,6382.0,77346.0,72775.0,,,
1998.0,51.0,96.0,7420.0,7166.0,81374.0,78502.0,,,
1999.0,77.0,88.0,8015.0,7976.0,93213.0,92727.0,,,
2000.0,50.0,94.0,9868.0,9245.0,111067.0,103748.0,,,
2001.0,61.0,91.0,10242.0,9496.0,118236.0,109113.0,,,
2002.0,53.0,88.0,10790.0,10026.0,127039.0,117995.0,,,
2003.0,63.0,102.0,12487.0,12324.0,130142.0,128614.0,,,
2004.0,64.0,88.0,12672.0,12580.0,149703.0,148922.0,,,
2005.0,67.0,87.0,16540.0,16416.0,194063.0,192993.0,,,
2006.0,50.0,97.0,20550.0,20306.0,215607.0,213233.0,,,
2007.0,57.0,87.0,20888.0,20502.0,247581.0,243004.0,,,
2008.0,31.0,97.0,24963.0,24393.0,263559.0,257772.0,,,
2009.0,8.0,88.0,20731.0,19092.0,240717.0,221012.0,,,
2010.0,16.0,102.0,20643.0,20287.0,207932.0,204710.0,,,
2011.0,26.0,97.0,21823.0,21254.0,227353.0,222478.0,,,
2012.0,42.0,93.0,22590.0,21994.0,252194.0,245355.0,,,
2013.0,36.0,99.0,25487.0,24916.0,266145.0,260282.0,,,
2014.0,37.0,89.0,26865.0,26574.0,309240.0,305476.0,,,
,,,,,,,,,
"Heimar, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,36.0,105.0,6304.0,5710.0,62353.0,56065.0,,,
1991.0,69.0,101.0,7033.0,6141.0,71134.0,61873.0,,,
