Unnið 26/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Miðbær Reykjavíkur - norðan Hringbrautar og vestan Snorrabrautar,,,,,,
,,,,,,
1990.0,15.0,145.0,7616.0,6879.0,57254.0,51172.0
1991.0,22.0,171.0,8232.0,7337.0,50217.0,44413.0
1992.0,32.0,129.0,7748.0,7043.0,62408.0,56228.0
1993.0,27.0,146.0,9062.0,8306.0,68251.0,61746.0
1994.0,33.0,120.0,7593.0,7235.0,64531.0,61652.0
1995.0,23.0,140.0,8702.0,8257.0,67603.0,63745.0
1996.0,35.0,163.0,9180.0,8708.0,57063.0,54323.0
1997.0,57.0,146.0,9493.0,8960.0,67449.0,63706.0
1998.0,64.0,149.0,9933.0,9714.0,73843.0,72603.0
1999.0,56.0,140.0,11351.0,11317.0,87227.0,87486.0
2000.0,59.0,141.0,13606.0,12991.0,103993.0,98787.0
2001.0,42.0,140.0,14492.0,13715.0,110025.0,103696.0
2002.0,46.0,159.0,19105.0,18132.0,124757.0,118617.0
2003.0,43.0,147.0,18017.0,17738.0,128496.0,126843.0
2004.0,52.0,144.0,19771.0,19609.0,148110.0,147188.0
2005.0,54.0,135.0,27019.0,26699.0,214261.0,212075.0
2006.0,35.0,138.0,34320.0,33513.0,256834.0,252327.0
2007.0,46.0,126.0,35627.0,34646.0,296381.0,288966.0
2008.0,13.0,112.0,31738.0,30961.0,293363.0,288047.0
2009.0,6.0,167.0,49117.0,48078.0,323628.0,319982.0
2010.0,17.0,146.0,37921.0,37352.0,272887.0,269638.0
2011.0,24.0,165.0,44492.0,43820.0,289282.0,285598.0
2012.0,29.0,164.0,42516.0,41626.0,271063.0,265716.0
2013.0,23.0,155.0,48348.0,47896.0,333671.0,331423.0
2014.0,41.0,190.0,67004.0,66504.0,360121.0,357377.0
,,,,,,
Reykjavík norðan miklubrautar - frá Snorrabraut að Elliðaá,,,,,,
,,,,,,
1990.0,35.0,191.0,10696.0,9727.0,57906.0,52456.0
1991.0,28.0,191.0,12423.0,11071.0,64891.0,57699.0
1992.0,25.0,178.0,11628.0,10608.0,66863.0,60982.0
1993.0,22.0,190.0,11632.0,10604.0,62081.0,56492.0
1994.0,25.0,229.0,13014.0,12282.0,62533.0,58760.0
1995.0,30.0,208.0,13985.0,13046.0,69098.0,64276.0
1996.0,27.0,213.0,11963.0,11128.0,58200.0,54113.0
1997.0,44.0,208.0,13224.0,12487.0,66441.0,62715.0
1998.0,62.0,208.0,13333.0,12906.0,66281.0,64144.0
1999.0,35.0,208.0,15839.0,15779.0,77992.0,77539.0
2000.0,49.0,185.0,17669.0,16785.0,98480.0,93575.0
2001.0,29.0,192.0,18308.0,17344.0,99895.0,93995.0
2002.0,46.0,184.0,19284.0,17981.0,110876.0,103533.0
2003.0,54.0,179.0,19490.0,19118.0,115362.0,113210.0
2004.0,38.0,196.0,24866.0,24651.0,128021.0,127237.0
2005.0,41.0,195.0,35822.0,35337.0,187684.0,185386.0
2006.0,32.0,185.0,40548.0,39578.0,222605.0,218214.0
2007.0,54.0,185.0,45087.0,43953.0,248690.0,242830.0
2008.0,14.0,187.0,45586.0,43172.0,249447.0,236231.0
2009.0,11.0,154.0,35465.0,33236.0,233332.0,220626.0
2010.0,15.0,193.0,41677.0,39851.0,218372.0,210686.0
2011.0,37.0,229.0,45503.0,44621.0,204548.0,200551.0
2012.0,35.0,188.0,45269.0,44315.0,242130.0,237431.0
2013.0,26.0,186.0,43210.0,41855.0,243547.0,236966.0
2014.0,40.0,188.0,47422.0,46675.0,259371.0,255811.0
,,,,,,
Reykjavík sunnan miklubrautar - frá Seltjarnarnesi að Reykjanesbraut,,,,,,
,,,,,,
1990.0,54.0,187.0,11655.0,10622.0,63409.0,57567.0
1991.0,61.0,188.0,12438.0,11084.0,67599.0,59824.0
1992.0,58.0,199.0,12936.0,11931.0,66083.0,60534.0
1993.0,47.0,196.0,12738.0,11721.0,67862.0,62367.0
1994.0,60.0,203.0,12926.0,12255.0,65352.0,62487.0
1995.0,81.0,188.0,12458.0,11466.0,68431.0,63014.0
1996.0,94.0,194.0,12232.0,11332.0,64748.0,59833.0
1997.0,118.0,197.0,12870.0,12065.0,67815.0,63562.0
1998.0,125.0,197.0,13596.0,13196.0,71181.0,69167.0
1999.0,123.0,193.0,15392.0,15207.0,82104.0,81202.0
2000.0,90.0,196.0,18712.0,17917.0,99449.0,94803.0
2001.0,92.0,201.0,19837.0,18639.0,102519.0,96057.0
2002.0,107.0,190.0,20465.0,19247.0,110950.0,103981.0
2003.0,112.0,183.0,21377.0,20933.0,120337.0,117846.0
2004.0,119.0,193.0,26283.0,25842.0,137300.0,135307.0
2005.0,114.0,190.0,37771.0,37136.0,200400.0,197174.0
2006.0,76.0,187.0,41433.0,40279.0,223288.0,217361.0
2007.0,113.0,197.0,49631.0,48232.0,257139.0,249857.0
2008.0,30.0,211.0,55415.0,52146.0,263112.0,249791.0
2009.0,31.0,193.0,47865.0,45019.0,246493.0,232251.0
2010.0,52.0,201.0,49209.0,47672.0,242962.0,234783.0
2011.0,65.0,196.0,43805.0,42759.0,226190.0,220908.0
2012.0,81.0,208.0,52189.0,50886.0,255134.0,249167.0
