ár,fjöldi ,fjöldi,fjöldi,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,sérbýli,fjölbýli,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Höfuðborgarsvæðið,,,,,,,,
,,,,,,,,
1990.0,2667.0,343.0,2324.0,103.0,6499.0,5803.0,65710.0,58326.0
1991.0,2595.0,341.0,2254.0,103.0,7192.0,6256.0,72879.0,63096.0
1992.0,2350.0,319.0,2031.0,100.0,7323.0,6570.0,76797.0,68646.0
1993.0,2429.0,348.0,2081.0,102.0,7371.0,6696.0,76564.0,69328.0
1994.0,3712.0,568.0,3144.0,109.0,7666.0,7241.0,75090.0,71102.0
1995.0,3890.0,677.0,3213.0,110.0,7697.0,7109.0,74447.0,68861.0
1996.0,4479.0,747.0,3732.0,110.0,7695.0,7147.0,74637.0,69327.0
1997.0,4917.0,904.0,4013.0,111.0,7920.0,7408.0,75683.0,70784.0
1998.0,5938.0,1119.0,4819.0,112.0,8193.0,7961.0,77847.0,75689.0
1999.0,6791.0,1092.0,5699.0,109.0,9172.0,9107.0,88609.0,88081.0
2000.0,5601.0,904.0,4697.0,110.0,11333.0,10699.0,108381.0,102104.0
2001.0,5554.0,941.0,4613.0,112.0,12404.0,11520.0,116795.0,108277.0
2002.0,6093.0,987.0,5106.0,113.0,13112.0,12214.0,121896.0,113411.0
2003.0,7108.0,1209.0,5899.0,115.0,14092.0,13846.0,129268.0,127155.0
2004.0,8434.0,1298.0,7137.0,114.0,15840.0,15704.0,145075.0,144075.0
2005.0,7762.0,1140.0,6622.0,110.0,20777.0,20533.0,192661.0,190788.0
2006.0,5694.0,875.0,4819.0,112.0,24205.0,23735.0,219622.0,215874.0
2007.0,8223.0,1195.0,7028.0,113.0,27461.0,26753.0,247367.0,241449.0
2008.0,2711.0,367.0,2344.0,110.0,28490.0,27410.0,262002.0,252797.0
2009.0,1584.0,297.0,1287.0,121.0,28533.0,27118.0,240114.0,228861.0
2010.0,2438.0,432.0,2006.0,118.0,26135.0,25295.0,224838.0,217908.0
2011.0,3957.0,690.0,3267.0,119.0,27233.0,26617.0,232925.0,227706.0
2012.0,4549.0,792.0,3757.0,118.0,28629.0,28013.0,249793.0,244471.0
2013.0,5003.0,881.0,4122.0,119.0,30659.0,30089.0,266758.0,261954.0
2014.0,5418.0,990.0,4428.0,119.0,33602.0,33093.0,293807.0,289632.0
,,,,,,,,
Reykjanes,,,,,,,,
,,,,,,,,
1990.0,228.0,94.0,134.0,112.0,4767.0,4195.0,44500.0,38801.0
1991.0,241.0,80.0,161.0,111.0,5308.0,4619.0,50082.0,43398.0
1992.0,199.0,79.0,120.0,108.0,5424.0,4865.0,52529.0,46915.0
1993.0,238.0,103.0,135.0,117.0,6405.0,5818.0,56755.0,51401.0
1994.0,325.0,132.0,193.0,114.0,6208.0,5890.0,56835.0,54012.0
1995.0,328.0,147.0,181.0,120.0,6055.0,5604.0,53908.0,49909.0
1996.0,443.0,197.0,246.0,119.0,6364.0,5894.0,56230.0,52097.0
1997.0,465.0,211.0,254.0,119.0,6513.0,6060.0,57335.0,53452.0
1998.0,434.0,189.0,245.0,119.0,6773.0,6539.0,59410.0,57497.0
1999.0,618.0,287.0,331.0,125.0,7051.0,6982.0,59286.0,58733.0
2000.0,582.0,244.0,338.0,123.0,7691.0,7194.0,64941.0,60768.0
2001.0,538.0,239.0,299.0,126.0,8590.0,7913.0,72665.0,66966.0
2002.0,551.0,246.0,305.0,124.0,9725.0,9020.0,82410.0,76454.0
2003.0,560.0,284.0,276.0,134.0,10939.0,10738.0,86478.0,84890.0
2004.0,621.0,326.0,295.0,131.0,11690.0,11633.0,92931.0,92581.0
2005.0,1076.0,387.0,689.0,119.0,13219.0,13140.0,113950.0,113384.0
2006.0,591.0,228.0,364.0,123.0,17129.0,16850.0,143671.0,141386.0
2007.0,921.0,390.0,531.0,124.0,19389.0,18735.0,160590.0,155080.0
2008.0,388.0,153.0,235.0,124.0,20785.0,19916.0,173177.0,166043.0
2009.0,145.0,74.0,71.0,125.0,20580.0,19680.0,168333.0,161219.0
2010.0,166.0,81.0,85.0,130.0,19878.0,18988.0,154539.0,147768.0
2011.0,166.0,105.0,61.0,148.0,20710.0,19769.0,146387.0,139784.0
2012.0,274.0,147.0,127.0,141.0,19566.0,18880.0,142832.0,137740.0
2013.0,330.0,176.0,154.0,141.0,19858.0,19250.0,146051.0,141410.0
2014.0,458.0,236.0,222.0,138.0,20307.0,19896.0,153770.0,150799.0
,,,,,,,,
Vesturland,,,,,,,,
,,,,,,,,
1990.0,108.0,49.0,59.0,123.0,4303.0,3817.0,35589.0,31326.0
1991.0,101.0,46.0,55.0,117.0,4256.0,3744.0,37146.0,32646.0
1992.0,90.0,44.0,46.0,126.0,5101.0,4573.0,41555.0,37291.0
1993.0,142.0,71.0,71.0,122.0,5136.0,4729.0,43509.0,40046.0
1994.0,217.0,97.0,120.0,138.0,6455.0,6092.0,49211.0,46470.0
1995.0,161.0,84.0,77.0,139.0,6545.0,6034.0,48701.0,45000.0
1996.0,238.0,97.0,141.0,125.0,5796.0,5385.0,49425.0,45971.0
1997.0,252.0,121.0,131.0,130.0,6288.0,5861.0,50242.0,46857.0
1998.0,287.0,140.0,147.0,138.0,6533.0,6332.0,49399.0,47954.0
1999.0,353.0,180.0,173.0,135.0,7365.0,7285.0,56346.0,55739.0
2000.0,356.0,191.0,165.0,147.0,7956.0,7417.0,59931.0,56293.0
2001.0,296.0,158.0,138.0,138.0,8868.0,8203.0,68988.0,63774.0
2002.0,294.0,146.0,148.0,133.0,9164.0,8469.0,71024.0,65715.0
2003.0,320.0,150.0,170.0,139.0,9985.0,9810.0,82793.0,81479.0
2004.0,464.0,212.0,252.0,139.0,11279.0,11207.0,87039.0,86555.0
2005.0,480.0,200.0,280.0,133.0,13056.0,12939.0,104882.0,103981.0
2006.0,315.0,127.0,188.0,131.0,17326.0,17076.0,138091.0,136242.0
2007.0,480.0,194.0,286.0,128.0,19230.0,18716.0,156317.0,152129.0
2008.0,171.0,84.0,87.0,126.0,19282.0,18555.0,159811.0,154096.0
2009.0,96.0,48.0,48.0,139.0,20130.0,19116.0,153350.0,145903.0
2010.0,88.0,47.0,41.0,138.0,17848.0,17069.0,140566.0,134848.0
2011.0,139.0,75.0,64.0,142.0,20379.0,19672.0,149852.0,144888.0
2012.0,144.0,83.0,61.0,142.0,20597.0,19674.0,151855.0,144985.0
2013.0,169.0,90.0,79.0,144.0,20210.0,19636.0,147398.0,143070.0
2014.0,278.0,136.0,142.0,141.0,21166.0,20678.0,157633.0,154249.0
,,,,,,,,
Vestfirðir,,,,,,,,
,,,,,,,,
1990.0,58.0,25.0,33.0,133.0,4666.0,4244.0,35876.0,32619.0
1991.0,71.0,27.0,44.0,125.0,4409.0,3851.0,36823.0,32010.0
1992.0,63.0,29.0,34.0,138.0,5155.0,4705.0,38976.0,35470.0
1993.0,88.0,49.0,39.0,130.0,4859.0,4407.0,38440.0,34839.0
1994.0,123.0,67.0,56.0,140.0,5254.0,5033.0,39793.0,38242.0
1995.0,97.0,47.0,50.0,134.0,5339.0,4994.0,43436.0,40725.0
1996.0,122.0,70.0,52.0,136.0,5469.0,5116.0,41515.0,38881.0
1997.0,104.0,61.0,43.0,142.0,5651.0,5294.0,44785.0,42005.0
1998.0,91.0,50.0,41.0,156.0,5799.0,5607.0,45023.0,43591.0
1999.0,106.0,76.0,30.0,144.0,5596.0,5538.0,40723.0,40245.0
2000.0,102.0,68.0,34.0,138.0,5369.0,5055.0,40562.0,38318.0
2001.0,89.0,60.0,29.0,171.0,6138.0,5763.0,38998.0,36247.0
2002.0,130.0,78.0,52.0,181.0,5836.0,5492.0,42101.0,39653.0
2003.0,146.0,91.0,55.0,164.0,5978.0,5907.0,38721.0,38270.0
2004.0,140.0,87.0,53.0,143.0,5729.0,5968.0,40096.0,42264.0
2005.0,223.0,107.0,116.0,132.0,6446.0,6433.0,51321.0,51217.0
2006.0,196.0,97.0,99.0,128.0,7500.0,7414.0,59667.0,58956.0
2007.0,145.0,96.0,49.0,146.0,9782.0,9621.0,68369.0,67250.0
2008.0,71.0,45.0,26.0,145.0,9004.0,8746.0,64711.0,62695.0
2009.0,80.0,47.0,33.0,132.0,8489.0,8234.0,66872.0,65123.0
2010.0,84.0,43.0,41.0,140.0,9612.0,9396.0,70902.0,69142.0
2011.0,77.0,44.0,33.0,146.0,11047.0,10686.0,81169.0,78282.0
2012.0,102.0,66.0,36.0,137.0,11064.0,10680.0,83227.0,80704.0
2013.0,124.0,74.0,50.0,145.0,11482.0,11240.0,83969.0,82294.0
2014.0,122.0,77.0,45.0,144.0,11608.0,11403.0,81180.0,79934.0
,,,,,,,,
Norðurland,,,,,,,,
,,,,,,,,
1990.0,352.0,130.0,222.0,117.0,5231.0,4682.0,47523.0,42327.0
1991.0,307.0,131.0,176.0,118.0,5904.0,5186.0,53544.0,46870.0
1992.0,360.0,156.0,204.0,118.0,5878.0,5272.0,53033.0,47392.0
1993.0,475.0,207.0,268.0,119.0,6005.0,5534.0,53783.0,49534.0
