Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,44365.0
1000.0,Kópavogur,8770.0
1100.0,Seltjarnarnes,1585.0
1300.0,Garðabær,2661.0
1400.0,Hafnarfjörður,6583.0
1603.0,Bessastaðahreppur,503.0
1604.0,Mosfellsbær,1911.0
1606.0,Kjósarhreppur,69.0
2000.0,Reykjanesbær,3886.0
2300.0,Grindavík,704.0
2503.0,Sandgerði,437.0
2504.0,Gerðahreppur,358.0
2506.0,Vatnsleysustrandarhreppur,254.0
3000.0,Akranes,1890.0
3501.0,Hvalfjarðarstrandarhreppur,57.0
3502.0,Skilmannahreppur,46.0
3503.0,Innri-Akraneshreppur,41.0
3504.0,Leirár- og Melahreppur,43.0
3506.0,Skorradalshreppur,35.0
3510.0,Borgarfjarðarsveit,274.0
3601.0,Hvítársíðuhreppur,31.0
3609.0,Borgarbyggð,929.0
3701.0,Kolbeinsstaðahreppur,39.0
3709.0,Eyrarsveit,309.0
3710.0,Helgafellssveit,26.0
3711.0,Stykkishólmur,434.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,643.0
3809.0,Saurbæjarhreppur,40.0
3811.0,Dalabyggð,298.0
4100.0,Bolungarvík,387.0
4200.0,Ísafjarðarbær,1704.0
4502.0,Reykhólahreppur,125.0
4604.0,Tálknafjarðarhreppur,116.0
4607.0,Vesturbyggð,566.0
4803.0,Súðavíkurhreppur,100.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,55.0
4904.0,Hólmavíkurhreppur,163.0
4905.0,Kirkjubólshreppur,18.0
4908.0,Bæjarhreppur,63.0
4909.0,Broddaneshreppur,33.0
5000.0,Siglufjörður,653.0
5200.0,Skagafjörður,1600.0
5508.0,Húnaþing vestra,538.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,29.0
5603.0,Torfalækjarhreppur,44.0
5604.0,Blönduós,350.0
5605.0,Svínavatnshreppur,40.0
5606.0,Bólstaðarhlíðarhreppur,43.0
5607.0,Engihlíðarhreppur,23.0
5608.0,Vindhælishreppur,20.0
5609.0,Höfðahreppur,218.0
5610.0,Skagahreppur,25.0
5706.0,Akrahreppur,83.0
6000.0,Akureyri,5910.0
6100.0,Húsavík,855.0
6200.0,Ólafsfjörður,409.0
6400.0,Dalvíkurbyggð,685.0
6501.0,Grímseyjarhreppur,40.0
6504.0,Hríseyjarhreppur,101.0
6506.0,Arnarneshreppur,75.0
6513.0,Eyjafjarðarsveit,329.0
6514.0,Hörgárbyggð,156.0
6601.0,Svalbarðsstrandarhreppur,117.0
6602.0,Grýtubakkahreppur,138.0
6604.0,Hálshreppur,80.0
6605.0,Ljósavatnshreppur,87.0
6606.0,Bárðdælahreppur,48.0
6607.0,Skútustaðahreppur,159.0
6608.0,Reykdælahreppur,110.0
6609.0,Aðaldælahreppur,116.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,62.0
6702.0,Öxarfjarðarhreppur,148.0
6705.0,Raufarhafnarhreppur,145.0
6706.0,Svalbarðshreppur,37.0
6707.0,Þórshafnarhreppur,180.0
7000.0,Seyðisfjörður,337.0
7300.0,Fjarðabyggð,1175.0
7501.0,Skeggjastaðahreppur,71.0
7502.0,Vopnafjarðarhreppur,325.0
7505.0,Fljótsdalshreppur,39.0
7506.0,Fellahreppur,161.0
7509.0,Borgarfjarðarhreppur,88.0
7512.0,Norður-Hérað,107.0
7605.0,Mjóafjarðarhreppur,21.0
7610.0,Fáskrúðsfjarðarhreppur,29.0
7611.0,Búðahreppur,245.0
7612.0,Stöðvarhreppur,108.0
7613.0,Breiðdalshreppur,129.0
7617.0,Djúpavogshreppur,209.0
7618.0,Austur-Hérað,817.0
7708.0,Hornafjörður,846.0
8000.0,Vestmannaeyjar,1625.0
8200.0,Árborg,2161.0
8508.0,Mýrdalshreppur,201.0
8509.0,Skaftárhreppur,221.0
8601.0,Austur-Eyjafjallahreppur,50.0
8602.0,Vestur-Eyjafjallahreppur,69.0
8603.0,Austur-Landeyjahreppur,55.0
8604.0,Vestur-Landeyjahreppur,45.0
8605.0,Fljótshlíðarhreppur,68.0
8606.0,Hvolhreppur,281.0
8607.0,Rangárvallahreppur,282.0
8610.0,Ásahreppur,56.0
8611.0,Djúpárhreppur,75.0
8612.0,Holta- og Landsveit,136.0
8701.0,Gaulverjabæjarhreppur,45.0
8706.0,Hraungerðishreppur,65.0
8707.0,Villingaholtshreppur,61.0
8708.0,Skeiðahreppur,79.0
8709.0,Gnúpverjahreppur,113.0
8710.0,Hrunamannahreppur,236.0
8711.0,Biskupstungnahreppur,198.0
8712.0,Laugardalshreppur,101.0
8714.0,Þingvallahreppur,13.0
8716.0,Hveragerði,658.0
8717.0,Ölfus,549.0
8719.0,Grímsnes-og Grafningshreppur,155.0
,,
,Alls,106706.0
