Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,48523.0
1000.0,Kópavogur,10538.0
1100.0,Seltjarnarnes,1589.0
1300.0,Garðabær,3440.0
1400.0,Hafnarfjörður,8255.0
1603.0,Álftanes,712.0
1604.0,Mosfellsbær,2478.0
1606.0,Kjósarhreppur,84.0
2000.0,Reykjanesbær,4600.0
2300.0,Grindavík,881.0
2503.0,Sandgerði,544.0
2504.0,Garður,466.0
2506.0,Vogar,377.0
3000.0,Akranes,2205.0
3506.0,Skorradalshreppur,37.0
3511.0,Hvalfjarðarsveit,215.0
3609.0,Borgarbyggð,1575.0
3709.0,Grundarfjarðarbær,326.0
3710.0,Helgafellssveit,34.0
3711.0,Stykkishólmur,478.0
3713.0,Eyja- og Miklaholtshreppur,64.0
3714.0,Snæfellsbær,679.0
3811.0,Dalabyggð,353.0
4100.0,Bolungarvík,386.0
4200.0,Ísafjarðarbær,1727.0
4502.0,Reykhólahreppur,149.0
4604.0,Tálknafjarðarhreppur,117.0
4607.0,Vesturbyggð,549.0
4803.0,Súðavíkurhreppur,110.0
4901.0,Árneshreppur,33.0
4902.0,Kaldrananeshreppur,64.0
4908.0,Bæjarhreppur,49.0
4911.0,Strandabyggð,231.0
5200.0,Skagafjörður,1743.0
5508.0,Húnaþing vestra,527.0
5604.0,Blönduós,376.0
5609.0,Höfðahreppur,213.0
5611.0,Skagabyggð,45.0
5612.0,Húnavatnshreppur,188.0
5706.0,Akrahreppur,86.0
6000.0,Akureyri,6870.0
6100.0,Norðurþing,1262.0
6250.0,Fjallabyggð,1062.0
6400.0,Dalvíkurbyggð,698.0
6501.0,Grímseyjarhreppur,40.0
6506.0,Arnarneshreppur,76.0
6513.0,Eyjafjarðarsveit,351.0
6514.0,Hörgárbyggð,162.0
6601.0,Svalbarðsstrandarhreppur,133.0
6602.0,Grýtubakkahreppur,140.0
6607.0,Skútustaðahreppur,166.0
6609.0,Aðaldælahreppur,115.0
6611.0,Tjörneshreppur,32.0
6612.0,Þingeyjarsveit,335.0
6706.0,Svalbarðshreppur,37.0
6709.0,Langanesbyggð,245.0
7000.0,Seyðisfjörður,329.0
7300.0,Fjarðabyggð,1812.0
7502.0,Vopnafjarðarhreppur,320.0
7505.0,Fljótsdalshreppur,41.0
7509.0,Borgarfjarðarhreppur,86.0
7613.0,Breiðdalshreppur,126.0
7617.0,Djúpavogshreppur,207.0
7620.0,Fljótsdalshérað,1334.0
7708.0,Hornafjörður,840.0
8000.0,Vestmannaeyjar,1636.0
8200.0,Sveitarfélagið Árborg,2816.0
8508.0,Mýrdalshreppur,215.0
8509.0,Skaftárhreppur,226.0
8610.0,Ásahreppur,68.0
8613.0,Rangárþing eystra,626.0
8614.0,Rangárþing ytra,591.0
8710.0,Hrunamannahreppur,264.0
8716.0,Hveragerði,875.0
8717.0,Ölfus,645.0
8719.0,Grímsnes-og Grafningshreppur,164.0
8720.0,Skeiða- og Gnúpverjahreppur,206.0
8721.0,Bláskógabyggð,402.0
8722.0,Flóahreppur,198.0
,,
,Alls,120797.0
