,,,Fjöldi íbúða eftir sveitarfélögum í árslok 2011 *,,,,,,
,,,Fjöldi íbúða,Einbýli,Tvíbýli,3-5 íbúða ,6-12 íbúða,13 eða fleiri,Íbúðir í öðrum húsum 
,,,samtals,,,hús,hús,íbúðir í húsi,en íbúðarhúsum
,,,,,,,,,
Landið allt,,,131275.0,52376.0,12874.0,16079.0,24884.0,23774.0,1288.0
,,,,,,,,,
Höfuðborgarsvæðið,,,80985.0,21509.0,7476.0,12733.0,19828.0,18752.0,687.0
,Reykjavík,,50150.0,9695.0,4480.0,10008.0,14392.0,11001.0,574.0
,Kópavogur,,11884.0,3429.0,1218.0,1273.0,2181.0,3749.0,34.0
,Seltjarnarnes,,1616.0,737.0,170.0,250.0,143.0,310.0,6.0
,Garðabær,,4036.0,2240.0,168.0,153.0,614.0,848.0,13.0
,Hafnarfjörður,,9472.0,2971.0,1136.0,892.0,1987.0,2456.0,30.0
,Álftanes,,785.0,598.0,14.0,25.0,148.0,-,0.0
,Mosfellsbær,,2947.0,1752.0,284.0,132.0,363.0,388.0,28.0
,Kjósarhreppur,,95.0,87.0,6.0,-,-,-,2.0
,,,,,,,,,
Suðurnes,,,9763.0,4357.0,1094.0,557.0,1519.0,2167.0,69.0
,Reykjanesbær,,7217.0,2344.0,896.0,461.0,1377.0,2092.0,47.0
,Grindavík,,981.0,773.0,60.0,22.0,80.0,44.0,2.0
,Sandgerði,,588.0,452.0,86.0,8.0,8.0,18.0,16.0
,Garður,,551.0,477.0,16.0,31.0,24.0,-,3.0
,Vogar,,426.0,311.0,36.0,35.0,30.0,13.0,1.0
,,,,,,,,,
Vesturland,,,6577.0,3999.0,802.0,304.0,730.0,645.0,97.0
,Akranes,,2543.0,1152.0,384.0,155.0,435.0,406.0,11.0
,Skorradalshreppur,,41.0,34.0,4.0,-,-,-,3.0
,Hvalfjarðarsveit,,241.0,212.0,8.0,3.0,12.0,-,6.0
,Borgarbyggð,,1747.0,1004.0,198.0,88.0,190.0,239.0,28.0
,Grundarfjarðarbær,,348.0,240.0,42.0,26.0,26.0,-,14.0
,Helgafellssveit,,39.0,39.0,-,-,-,-,0.0
,Stykkishólmur,,500.0,385.0,60.0,9.0,36.0,-,10.0
,Eyja- og Miklaholtshreppur,,64.0,57.0,2.0,-,-,-,5.0
,Snæfellsbær,,695.0,536.0,94.0,23.0,31.0,-,11.0
,Dalabyggð,,359.0,340.0,10.0,-,-,-,9.0
,,,,,,,,,
Vestfirðir,,,3344.0,2176.0,406.0,221.0,369.0,101.0,71.0
,Bolungarvík,,378.0,264.0,46.0,16.0,38.0,14.0,0.0
,Ísafjarðarbær,,1717.0,951.0,192.0,160.0,289.0,87.0,38.0
,Reykhólahreppur,,158.0,137.0,10.0,-,11.0,-,0.0
,Tálknafjarðarhreppur,,116.0,86.0,10.0,18.0,-,-,2.0
,Vesturbyggð,,535.0,342.0,122.0,20.0,31.0,-,20.0
,Súðavíkurhreppur,,106.0,88.0,8.0,3.0,-,-,7.0
,Árneshreppur,,33.0,29.0,4.0,-,-,-,0.0
,Kaldrananeshreppur,,66.0,60.0,2.0,4.0,-,-,0.0
,Strandabyggð,,235.0,219.0,12.0,-,-,-,4.0
,,,,,,,,,
Norðurland vestra,,,3275.0,2591.0,286.0,153.0,184.0,30.0,31.0
,Skagafjörður,,1775.0,1300.0,208.0,88.0,148.0,16.0,15.0
,Húnaþing vestra,,587.0,525.0,22.0,18.0,14.0,-,8.0
,Blönduós,,381.0,306.0,22.0,23.0,16.0,14.0,0.0
,Skagaströnd,,213.0,168.0,18.0,20.0,6.0,-,1.0
,Skagabyggð,,47.0,47.0,-,-,-,-,0.0
,Húnavatnshreppur,,183.0,167.0,10.0,-,-,-,6.0
,Akrahreppur,,89.0,78.0,6.0,4.0,-,-,1.0
,,,,,,,,,
Norðurland eystra,,,12311.0,6766.0,1472.0,1358.0,1443.0,1178.0,94.0
,Akureyri,,7402.0,2993.0,886.0,1065.0,1225.0,1178.0,55.0
,Norðurþing,,1281.0,879.0,150.0,90.0,149.0,-,13.0
,Fjallabyggð,,1065.0,677.0,232.0,106.0,41.0,-,9.0
,Dalvíkurbyggð,,723.0,573.0,78.0,39.0,28.0,-,5.0
,Eyjafjarðarsveit,,385.0,338.0,20.0,27.0,-,-,0.0
,Hörgársveit,,235.0,208.0,18.0,9.0,-,-,0.0
,Svalbarðsstrandarhreppur,,141.0,122.0,12.0,6.0,-,-,1.0
,Grýtubakkahreppur,,140.0,127.0,12.0,-,-,-,1.0
,Skútustaðahreppur,,174.0,152.0,18.0,3.0,-,-,1.0
,Tjörneshreppur,,31.0,31.0,-,-,-,-,0.0
,Þingeyjarsveit,,455.0,415.0,32.0,3.0,-,-,5.0
,Svalbarðshreppur,,36.0,36.0,-,-,-,-,0.0
,Langanesbyggð,,243.0,215.0,14.0,10.0,-,-,4.0
,,,,,,,,,
Austurland,,,5350.0,3649.0,508.0,386.0,328.0,381.0,98.0
,Seyðisfjörður,,329.0,232.0,42.0,19.0,28.0,-,8.0
,Fjarðabyggð,,1971.0,1256.0,214.0,191.0,130.0,148.0,32.0
,Vopnafjarðarhreppur,,288.0,255.0,22.0,-,6.0,-,5.0
,Fljótsdalshreppur,,40.0,36.0,2.0,-,-,-,2.0
,Borgarfjarðarhreppur,,88.0,80.0,4.0,-,-,-,4.0
,Breiðdalshreppur,,123.0,98.0,8.0,6.0,-,-,11.0
