Söluverð nýrra íbúða í sérbýli eftir árum á landinu öllu,,,
Ár ,Vísitala,Kaupverð á fermeter,Fjöldi 
1993.0,100.0,61971.0,24.0
1994.0,102.97719901244132,63816.0,23.0
1995.0,102.8303561343209,63725.0,65.0
1996.0,102.22846169982733,63352.0,53.0
1997.0,105.83176001678206,65585.0,47.0
1998.0,112.68496554840166,69832.0,55.0
1999.0,127.27082022236206,78871.0,94.0
2000.0,146.36200803601685,90702.0,86.0
2001.0,151.71935260040988,94022.0,102.0
2002.0,163.11823272175695,101086.0,86.0
2003.0,179.08215132884737,110979.0,106.0
2004.0,207.15495957786706,128376.0,159.0
2005.0,261.24154846621803,161894.0,213.0
2006.0,300.09359216407677,185971.0,149.0
2007.0,308.7799131851996,191354.0,233.0
2008.0,309.0897355214536,191546.0,82.0
2009.0,318.4279743751109,197333.0,38.0
2010.0,321.7827693598619,199412.0,22.0
2011.0,365.0885091413726,226249.0,23.0
2012.0,375.6466734440303,232792.0,16.0
2013.0,400.9859450388085,248495.0,22.0
