Ár,Mánuður,Samningar,Makaskipti
1993.0,jan.,173.0,
1993.0,feb.,238.0,1.0
1993.0,mars,279.0,
1993.0,apríl,204.0,1.0
1993.0,maí,232.0,
1993.0,júní,238.0,2.0
1993.0,júlí,241.0,3.0
1993.0,ágúst,221.0,
1993.0,sept.,287.0,5.0
1993.0,okt.,362.0,26.0
1993.0,nóv.,264.0,10.0
1993.0,des.,325.0,6.0
1994.0,jan.,228.0,17.0
1994.0,feb.,280.0,23.0
1994.0,mars,413.0,75.0
1994.0,apríl,332.0,100.0
1994.0,maí,382.0,108.0
1994.0,júní,364.0,107.0
1994.0,júlí,385.0,131.0
1994.0,ágúst,356.0,109.0
1994.0,sept.,318.0,77.0
1994.0,okt.,333.0,53.0
1994.0,nóv.,591.0,173.0
1994.0,des.,358.0,120.0
1995.0,jan.,277.0,100.0
1995.0,feb.,269.0,99.0
1995.0,mars,359.0,123.0
1995.0,apríl,296.0,125.0
1995.0,maí,445.0,178.0
1995.0,júní,444.0,167.0
1995.0,júlí,338.0,120.0
1995.0,ágúst,424.0,117.0
1995.0,sept.,366.0,102.0
1995.0,okt.,403.0,99.0
1995.0,nóv.,447.0,163.0
1995.0,des.,374.0,121.0
1996.0,jan.,258.0,76.0
1996.0,feb.,345.0,93.0
1996.0,mars,498.0,109.0
1996.0,apríl,461.0,149.0
1996.0,maí,511.0,145.0
1996.0,júní,397.0,110.0
1996.0,júlí,418.0,110.0
1996.0,ágúst,451.0,95.0
1996.0,sept.,496.0,97.0
1996.0,okt.,536.0,117.0
1996.0,nóv.,457.0,116.0
1996.0,des.,341.0,68.0
1997.0,jan.,288.0,57.0
1997.0,feb.,381.0,88.0
1997.0,mars,425.0,100.0
1997.0,apríl,407.0,78.0
1997.0,maí,509.0,105.0
1997.0,júní,523.0,107.0
1997.0,júlí,492.0,58.0
1997.0,ágúst,485.0,82.0
1997.0,sept.,594.0,105.0
1997.0,okt.,607.0,80.0
1997.0,nóv.,510.0,60.0
1997.0,des.,490.0,47.0
1998.0,jan.,388.0,51.0
1998.0,feb.,470.0,52.0
1998.0,mars,549.0,69.0
1998.0,apríl,594.0,80.0
1998.0,maí,538.0,53.0
1998.0,júní,581.0,43.0
1998.0,júlí,648.0,58.0
1998.0,ágúst,593.0,37.0
1998.0,sept.,626.0,38.0
1998.0,okt.,681.0,34.0
1998.0,nóv.,683.0,34.0
1998.0,des.,572.0,15.0
1999.0,jan.,324.0,11.0
1999.0,feb.,334.0,12.0
1999.0,mars,902.0,21.0
1999.0,apríl,745.0,6.0
1999.0,maí,745.0,14.0
1999.0,júní,752.0,11.0
1999.0,júlí,733.0,4.0
1999.0,ágúst,587.0,8.0
1999.0,sept.,576.0,4.0
1999.0,okt.,614.0,16.0
1999.0,nóv.,540.0,2.0
1999.0,des.,568.0,9.0
2000.0,jan.,386.0,5.0
2000.0,feb.,474.0,5.0
2000.0,mars,728.0,9.0
2000.0,apríl,517.0,4.0
2000.0,maí,675.0,11.0
2000.0,júní,519.0,4.0
2000.0,júlí,436.0,2.0
2000.0,ágúst,462.0,2.0
2000.0,sept.,491.0,11.0
2000.0,okt.,543.0,6.0
2000.0,nóv.,545.0,5.0
2000.0,des.,485.0,3.0
2001.0,jan.,361.0,7.0
2001.0,feb.,453.0,9.0
2001.0,mars,618.0,25.0
2001.0,apríl,426.0,8.0
2001.0,maí,604.0,7.0
2001.0,júní,505.0,7.0
2001.0,júlí,479.0,4.0
2001.0,ágúst,488.0,10.0
2001.0,sept.,586.0,22.0
2001.0,okt.,560.0,14.0
2001.0,nóv.,573.0,7.0
2001.0,des.,500.0,21.0
2002.0,jan.,358.0,9.0
2002.0,feb.,526.0,22.0
2002.0,mars,568.0,16.0
2002.0,apríl,582.0,15.0
2002.0,maí,593.0,29.0
2002.0,júní,556.0,8.0
2002.0,júlí,571.0,10.0
2002.0,ágúst,575.0,13.0
2002.0,sept.,693.0,16.0
2002.0,okt.,646.0,21.0
2002.0,nóv.,636.0,20.0
2002.0,des.,410.0,19.0
2003.0,jan.,402.0,11.0
2003.0,feb.,606.0,12.0
2003.0,mars,724.0,15.0
2003.0,apríl,581.0,5.0
2003.0,maí,621.0,3.0
2003.0,júní,584.0,
2003.0,júlí,880.0,18.0
2003.0,ágúst,640.0,11.0
2003.0,sept.,798.0,19.0
2003.0,okt.,842.0,11.0
2003.0,nóv.,620.0,21.0
2003.0,des.,603.0,11.0
2004.0,jan.,448.0,17.0
2004.0,feb.,641.0,7.0
2004.0,mars,788.0,8.0
2004.0,apríl,587.0,3.0
2004.0,maí,690.0,1.0
2004.0,júní,880.0,6.0
2004.0,júlí,590.0,1.0
2004.0,ágúst,671.0,8.0
2004.0,sept.,1055.0,28.0
2004.0,okt.,1083.0,4.0
2004.0,nóv.,1015.0,12.0
2004.0,des.,947.0,5.0
2005.0,jan.,632.0,4.0
2005.0,feb.,866.0,10.0
2005.0,mars,792.0,2.0
2005.0,apríl,854.0,4.0
2005.0,maí,670.0,9.0
2005.0,júní,750.0,6.0
2005.0,júlí,669.0,4.0
2005.0,ágúst,689.0,3.0
2005.0,sept.,816.0,3.0
2005.0,okt.,666.0,2.0
2005.0,nóv.,631.0,5.0
2005.0,des.,513.0,
2006.0,jan.,467.0,8.0
2006.0,feb.,698.0,
2006.0,mars,865.0,3.0
2006.0,apríl,534.0,4.0
2006.0,maí,618.0,8.0
