Verð Íbúðarhúsnæðis á höfuðborgarsvæðinu. Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð íbúða í þúsundum króna,Meðaltals staðgreiðsluverð íbúða í þúsundum króna,Kaupverð á fermeter (krónur),Staðgreiðsluverð á fermeter (krónur)
2014.0,12.0,421.0,119.0,36061.0,35494.0,312131.0,307708.0
2014.0,11.0,509.0,118.0,34169.0,33588.0,306147.0,301532.0
2014.0,10.0,487.0,122.0,34257.0,33782.0,294519.0,290679.0
2014.0,9.0,450.0,117.0,33562.0,33105.0,298131.0,294276.0
2014.0,8.0,413.0,120.0,32970.0,32526.0,291441.0,287648.0
2014.0,7.0,510.0,117.0,33372.0,32993.0,297995.0,294853.0
2014.0,6.0,441.0,123.0,34069.0,33538.0,290057.0,285842.0
2014.0,5.0,546.0,119.0,32616.0,32114.0,287509.0,283066.0
2014.0,4.0,441.0,121.0,33403.0,32948.0,287761.0,283875.0
2014.0,3.0,486.0,119.0,32925.0,32326.0,287954.0,283023.0
2014.0,2.0,419.0,121.0,33031.0,32474.0,282636.0,278126.0
2014.0,1.0,293.0,117.0,32754.0,32139.0,287556.0,282944.0
2013.0,12.0,439.0,122.0,32528.0,31986.0,273677.0,269472.0
2013.0,11.0,412.0,114.0,30392.0,29867.0,277143.0,272758.0
2013.0,10.0,472.0,114.0,30261.0,29727.0,275900.0,271293.0
2013.0,9.0,419.0,120.0,31733.0,31194.0,274643.0,270264.0
2013.0,8.0,435.0,113.0,29358.0,28886.0,266585.0,262295.0
2013.0,7.0,441.0,121.0,30423.0,29934.0,263895.0,259640.0
2013.0,6.0,410.0,119.0,30965.0,30487.0,267695.0,263585.0
2013.0,5.0,477.0,120.0,30603.0,29994.0,263687.0,258461.0
2013.0,4.0,387.0,117.0,30372.0,29762.0,264981.0,259747.0
2013.0,3.0,398.0,131.0,31684.0,30966.0,252576.0,246971.0
2013.0,2.0,388.0,123.0,29940.0,29234.0,255631.0,250008.0
2013.0,1.0,313.0,118.0,29481.0,28822.0,261248.0,255080.0
2012.0,12.0,390.0,118.0,29130.0,28523.0,256719.0,251902.0
2012.0,11.0,454.0,120.0,29596.0,29002.0,254200.0,249168.0
2012.0,10.0,471.0,114.0,28351.0,27797.0,254739.0,249719.0
2012.0,9.0,379.0,111.0,27289.0,26763.0,253465.0,248344.0
2012.0,8.0,398.0,114.0,27884.0,27154.0,249571.0,242440.0
2012.0,7.0,364.0,117.0,28514.0,27917.0,249115.0,243940.0
2012.0,6.0,410.0,122.0,30470.0,29819.0,254106.0,248731.0
2012.0,5.0,405.0,119.0,28709.0,28029.0,247521.0,241632.0
2012.0,4.0,326.0,120.0,28692.0,27977.0,243740.0,237537.0
2012.0,3.0,355.0,119.0,28861.0,28096.0,247386.0,241398.0
2012.0,2.0,327.0,119.0,27782.0,27216.0,240179.0,235067.0
2012.0,1.0,267.0,122.0,27543.0,26897.0,238731.0,233406.0
2011.0,12.0,313.0,114.0,27872.0,27205.0,247549.0,241789.0
2011.0,11.0,371.0,125.0,29342.0,28670.0,237967.0,232189.0
2011.0,10.0,342.0,123.0,28644.0,27951.0,240308.0,234624.0
2011.0,9.0,373.0,117.0,26977.0,26395.0,238015.0,233085.0
2011.0,8.0,388.0,117.0,26633.0,26127.0,231695.0,227026.0
2011.0,7.0,361.0,118.0,26812.0,26232.0,233693.0,228700.0
2011.0,6.0,315.0,114.0,25483.0,24932.0,227505.0,222863.0
2011.0,5.0,356.0,119.0,27826.0,27140.0,235791.0,229848.0
2011.0,4.0,326.0,118.0,26129.0,25568.0,227546.0,222927.0
2011.0,3.0,364.0,123.0,26632.0,25996.0,222115.0,216954.0
2011.0,2.0,252.0,118.0,25837.0,25229.0,223469.0,218470.0
2011.0,1.0,184.0,129.0,28102.0,27324.0,222517.0,216427.0
2010.0,12.0,243.0,123.0,26751.0,25882.0,219554.0,212874.0
2010.0,11.0,243.0,119.0,25697.0,25050.0,221064.0,215578.0
2010.0,10.0,255.0,116.0,25578.0,24907.0,224705.0,218995.0
2010.0,9.0,286.0,120.0,27197.0,26236.0,227995.0,219597.0
2010.0,8.0,206.0,121.0,26317.0,25412.0,222380.0,215399.0
2010.0,7.0,215.0,120.0,26282.0,25135.0,222955.0,213104.0
2010.0,6.0,188.0,113.0,24520.0,23434.0,223614.0,213793.0
2010.0,5.0,178.0,116.0,26644.0,25315.0,232950.0,222380.0
2010.0,4.0,147.0,113.0,25443.0,24190.0,226253.0,215114.0
2010.0,3.0,206.0,120.0,26880.0,25661.0,228260.0,217166.0
2010.0,2.0,159.0,118.0,26864.0,25603.0,227242.0,217392.0
2010.0,1.0,103.0,112.0,24555.0,23171.0,223524.0,211848.0
2009.0,12.0,150.0,121.0,26704.0,25195.0,229989.0,217435.0
2009.0,11.0,163.0,123.0,28297.0,26926.0,232009.0,220736.0
2009.0,10.0,181.0,127.0,29097.0,27557.0,236210.0,224828.0
2009.0,9.0,188.0,116.0,28008.0,26323.0,241905.0,227579.0
2009.0,8.0,123.0,118.0,27835.0,26514.0,239531.0,228361.0
2009.0,7.0,155.0,115.0,26418.0,25029.0,236811.0,224784.0
2009.0,6.0,106.0,120.0,28888.0,27200.0,245212.0,231631.0
2009.0,5.0,135.0,129.0,29988.0,28049.0,235762.0,221002.0
2009.0,4.0,100.0,129.0,32957.0,30817.0,252826.0,236169.0
2009.0,3.0,127.0,130.0,31713.0,29774.0,247387.0,233244.0
2009.0,2.0,79.0,113.0,27197.0,25766.0,249120.0,236218.0
2009.0,1.0,77.0,103.0,25587.0,24454.0,258345.0,247418.0
2008.0,12.0,87.0,106.0,25549.0,24510.0,249722.0,240027.0
2008.0,11.0,112.0,113.0,29234.0,28027.0,262675.0,252376.0
2008.0,10.0,249.0,104.0,26720.0,25747.0,260081.0,251544.0
2008.0,9.0,292.0,107.0,27606.0,26564.0,262383.0,254037.0
2008.0,8.0,247.0,107.0,28016.0,26914.0,261065.0,251767.0
2008.0,7.0,302.0,105.0,27127.0,26127.0,262483.0,253595.0
2008.0,6.0,155.0,128.0,32979.0,31280.0,259742.0,247028.0
2008.0,5.0,193.0,109.0,28855.0,27671.0,267589.0,257093.0
2008.0,4.0,228.0,108.0,27458.0,26647.0,259432.0,251854.0
2008.0,3.0,256.0,114.0,29571.0,28579.0,264079.0,255576.0
2008.0,2.0,342.0,114.0,29167.0,28103.0,262821.0,254325.0
2008.0,1.0,250.0,114.0,30031.0,28952.0,263730.0,254216.0
2007.0,12.0,349.0,112.0,28390.0,27458.0,258986.0,251049.0
2007.0,11.0,618.0,114.0,29427.0,28475.0,260149.0,252084.0
2007.0,10.0,766.0,115.0,29582.0,28766.0,261782.0,255069.0
2007.0,9.0,745.0,111.0,27542.0,26866.0,255538.0,249538.0
2007.0,8.0,771.0,111.0,27609.0,26960.0,253283.0,247845.0
2007.0,7.0,764.0,111.0,27610.0,26985.0,251922.0,246774.0
2007.0,6.0,834.0,113.0,27407.0,26811.0,246197.0,241264.0
2007.0,5.0,801.0,112.0,26938.0,26287.0,244282.0,238838.0
2007.0,4.0,679.0,112.0,26071.0,25462.0,238475.0,233291.0
2007.0,3.0,806.0,114.0,26353.0,25653.0,235755.0,230067.0
2007.0,2.0,651.0,118.0,26800.0,26074.0,230841.0,225052.0
2007.0,1.0,428.0,115.0,25825.0,25010.0,228523.0,221763.0
2006.0,12.0,514.0,112.0,24824.0,24199.0,224561.0,219611.0
2006.0,11.0,538.0,110.0,24263.0,23721.0,224810.0,220232.0
2006.0,10.0,432.0,109.0,23974.0,23399.0,222425.0,217633.0
2006.0,9.0,370.0,108.0,24134.0,23515.0,226543.0,221317.0
2006.0,8.0,361.0,109.0,24028.0,23524.0,224780.0,220783.0
2006.0,7.0,329.0,105.0,23002.0,22452.0,222572.0,217681.0
2006.0,6.0,340.0,108.0,23936.0,23355.0,224667.0,219228.0
2006.0,5.0,548.0,113.0,24242.0,23889.0,217752.0,215077.0
2006.0,4.0,483.0,115.0,24612.0,24239.0,217922.0,215139.0
2006.0,3.0,764.0,117.0,24711.0,24356.0,215135.0,212552.0
2006.0,2.0,614.0,113.0,23715.0,23345.0,212243.0,209356.0
2006.0,1.0,401.0,118.0,24252.0,23807.0,210625.0,207452.0
2005.0,12.0,412.0,110.0,22616.0,22282.0,211282.0,208844.0
2005.0,11.0,562.0,115.0,23358.0,23048.0,209024.0,206676.0
2005.0,10.0,592.0,106.0,21239.0,20996.0,203603.0,201657.0
2005.0,9.0,742.0,110.0,21716.0,21445.0,200771.0,198766.0
2005.0,8.0,636.0,109.0,21567.0,21261.0,201699.0,199203.0
2005.0,7.0,626.0,110.0,21723.0,21434.0,201370.0,199150.0
2005.0,6.0,663.0,110.0,21212.0,20919.0,196134.0,193848.0
