Verð fjölbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð fjölbýlis í þúsundum króna,Meðaltals staðgreiðsluverð fjölbýlis í þúsundum króna,Kaupverð fjölbýlis á fermeter (krónur),Staðgreiðsluverð fjölbýlis á fermeter (krónur)
2014.0,12.0,349.0,101.0,31197.0,30765.0,316842.0,312705.0
2014.0,11.0,421.0,100.0,30219.0,29795.0,313296.0,309086.0
2014.0,10.0,389.0,100.0,29592.0,29184.0,304168.0,300245.0
2014.0,9.0,374.0,101.0,30110.0,29720.0,305405.0,301555.0
2014.0,8.0,338.0,100.0,29033.0,28635.0,301327.0,297394.0
2014.0,7.0,416.0,99.0,29741.0,29442.0,307224.0,304265.0
2014.0,6.0,353.0,103.0,29921.0,29465.0,298028.0,293774.0
2014.0,5.0,448.0,101.0,29106.0,28635.0,294693.0,290053.0
2014.0,4.0,364.0,103.0,29447.0,29022.0,294485.0,290373.0
2014.0,3.0,394.0,100.0,28852.0,28354.0,294163.0,289313.0
2014.0,2.0,347.0,105.0,29433.0,28988.0,287913.0,283674.0
2014.0,1.0,240.0,98.0,28735.0,28233.0,294747.0,290364.0
2013.0,12.0,358.0,106.0,29230.0,28789.0,279048.0,275060.0
2013.0,11.0,352.0,101.0,27918.0,27441.0,281976.0,277509.0
2013.0,10.0,400.0,97.0,26624.0,26158.0,280445.0,275771.0
2013.0,9.0,342.0,99.0,27706.0,27257.0,281299.0,276901.0
2013.0,8.0,378.0,101.0,26673.0,26252.0,269483.0,265171.0
2013.0,7.0,347.0,99.0,25927.0,25520.0,268596.0,264389.0
2013.0,6.0,328.0,101.0,26449.0,26035.0,270661.0,266407.0
2013.0,5.0,397.0,104.0,27082.0,26562.0,267079.0,261963.0
2013.0,4.0,319.0,101.0,26880.0,26378.0,270072.0,264891.0
2013.0,3.0,323.0,107.0,26905.0,26316.0,256171.0,250584.0
2013.0,2.0,314.0,103.0,25834.0,25298.0,260774.0,255504.0
2013.0,1.0,254.0,97.0,25265.0,24616.0,267651.0,260802.0
2012.0,12.0,326.0,99.0,25442.0,24993.0,262082.0,257624.0
