Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
2014.0,12.0,74.0,208.0,59226.0,58027.0,290755.0,285045.0
2014.0,11.0,90.0,202.0,52732.0,51428.0,272246.0,265831.0
2014.0,10.0,98.0,210.0,52775.0,52035.0,256218.0,252709.0
2014.0,9.0,76.0,196.0,50547.0,49765.0,262338.0,258454.0
2014.0,8.0,76.0,210.0,50436.0,49795.0,247895.0,244772.0
2014.0,7.0,95.0,195.0,49426.0,48694.0,257373.0,253425.0
2014.0,6.0,88.0,202.0,50712.0,49873.0,258083.0,254022.0
2014.0,5.0,99.0,199.0,48437.0,47801.0,254956.0,251426.0
2014.0,4.0,77.0,207.0,52101.0,51503.0,255976.0,253160.0
2014.0,3.0,92.0,199.0,50366.0,49338.0,261363.0,256084.0
2014.0,2.0,72.0,198.0,50371.0,49276.0,257204.0,251388.0
2014.0,1.0,53.0,206.0,50954.0,49828.0,254994.0,249342.0
2013.0,12.0,81.0,194.0,47105.0,46116.0,249938.0,244772.0
2013.0,11.0,60.0,186.0,44910.0,44104.0,248793.0,244887.0
2013.0,10.0,72.0,210.0,50467.0,49556.0,250646.0,246414.0
2013.0,9.0,77.0,212.0,49621.0,48678.0,245081.0,240786.0
2013.0,8.0,57.0,195.0,47161.0,46354.0,247368.0,243222.0
2013.0,7.0,94.0,199.0,47017.0,46228.0,246540.0,242112.0
2013.0,6.0,82.0,193.0,49028.0,48294.0,255831.0,252295.0
2013.0,5.0,80.0,198.0,48073.0,47022.0,246852.0,241085.0
2013.0,4.0,68.0,195.0,46751.0,45638.0,241100.0,235616.0
2013.0,3.0,75.0,233.0,52265.0,50989.0,237093.0,231412.0
2013.0,2.0,74.0,207.0,47362.0,45938.0,233809.0,226685.0
2013.0,1.0,59.0,208.0,47629.0,46927.0,233680.0,230448.0
2012.0,12.0,64.0,213.0,47915.0,46509.0,229404.0,222752.0
2012.0,11.0,84.0,197.0,45996.0,44886.0,239160.0,233489.0
2012.0,10.0,87.0,183.0,44454.0,43661.0,245846.0,241792.0
2012.0,9.0,55.0,204.0,47595.0,46713.0,235495.0,230959.0
2012.0,8.0,63.0,197.0,46487.0,45565.0,237142.0,232740.0
2012.0,7.0,61.0,200.0,46284.0,45226.0,234294.0,228816.0
2012.0,6.0,77.0,206.0,50781.0,49602.0,252782.0,246767.0
2012.0,5.0,74.0,204.0,46699.0,45625.0,231804.0,226482.0
2012.0,4.0,63.0,193.0,45410.0,44291.0,234840.0,228726.0
2012.0,3.0,58.0,205.0,48989.0,46998.0,243636.0,234207.0
2012.0,2.0,61.0,204.0,45399.0,44332.0,227366.0,222010.0
2012.0,1.0,44.0,242.0,49017.0,47694.0,224553.0,218301.0
2011.0,12.0,45.0,191.0,45084.0,43743.0,241724.0,234698.0
2011.0,11.0,73.0,209.0,49379.0,48486.0,235954.0,231934.0
2011.0,10.0,65.0,202.0,45788.0,44564.0,235793.0,229600.0
2011.0,9.0,62.0,206.0,44602.0,43438.0,223377.0,217905.0
2011.0,8.0,70.0,189.0,44145.0,43508.0,236965.0,233585.0
