 Verð íbúðarhúsnæðis á höfuðborgarsvæðinu eftir árum frá árinu 1981 ,,,,,,
Ár ,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð íbúða í þúsundum króna,Meðaltals staðgreiðsluverð íbúða í þúsundum króna,Kaupverð á fermeter (krónur),Staðgreiðsluverð á fermeter (krónur)
2014.0,5419.0,119.0,33605.0,33095.0,293885.0,289711.0
2013.0,4991.0,119.0,30669.0,30100.0,266787.0,261988.0
2012.0,4546.0,118.0,28625.0,27991.0,249796.0,244292.0
2011.0,3945.0,119.0,27201.0,26581.0,232925.0,227681.0
2010.0,2434.0,118.0,26138.0,25294.0,224793.0,217838.0
2009.0,1584.0,121.0,28549.0,26955.0,240411.0,227489.0
2008.0,2713.0,110.0,28499.0,27426.0,261980.0,252866.0
2007.0,8212.0,113.0,27464.0,26753.0,247301.0,241367.0
2006.0,5694.0,112.0,24204.0,23729.0,219664.0,215846.0
2005.0,7761.0,110.0,20779.0,20534.0,192654.0,190782.0
2004.0,8434.0,114.0,15840.0,15704.0,145075.0,144075.0
2003.0,7107.0,115.0,14093.0,13846.0,129283.0,127171.0
2002.0,6093.0,113.0,13112.0,12214.0,121896.0,113411.0
2001.0,5553.0,112.0,12405.0,11520.0,116794.0,108277.0
2000.0,5601.0,110.0,11333.0,10699.0,108381.0,102104.0
1999.0,6789.0,109.0,9172.0,9106.0,88594.0,88066.0
1998.0,5938.0,112.0,8193.0,7961.0,77847.0,75689.0
1997.0,4917.0,111.0,7920.0,7408.0,75683.0,70784.0
1996.0,4479.0,110.0,7695.0,7147.0,74637.0,69327.0
1995.0,3890.0,110.0,7697.0,7109.0,74447.0,68861.0
1994.0,3712.0,109.0,7666.0,7241.0,75090.0,71102.0
1993.0,2429.0,102.0,7371.0,6696.0,76564.0,69328.0
1992.0,2350.0,100.0,7323.0,6570.0,76797.0,68646.0
1991.0,2595.0,103.0,7192.0,6256.0,72879.0,63096.0
1990.0,2667.0,103.0,6499.0,5803.0,65710.0,58326.0
1989.0,2295.0,95.0,5341.0,4984.0,58541.0,54333.0
1988.0,1696.0,95.0,4549.0,4351.0,49938.0,47473.0
1987.0,2454.0,93.0,3325.0,3189.0,36895.0,35268.0
1986.0,2409.0,96.0,2512.0,2312.0,27019.0,24854.0
1985.0,2150.0,92.0,2097.0,1936.0,23607.0,21783.0
1984.0,2285.0,91.0,1800.0,1673.0,20629.0,19168.0
1983.0,2186.0,92.0,1385.0,1261.0,15772.0,14379.0
1982.0,1568.0,88.0,898.0,808.0,10524.0,9496.0
1981.0,1482.0,90.0,505.0,447.0,5845.0,5189.0
,,,,,,
,,,,,,
Makaskiptasamningar með íbúðarhúsnæði eru með í þessari samantekt.,,,,,,
,,,,,,
Breytan fjöldi mengis er sá fjöldi samninga sem er marktækur til útreiknings fasteignaverðs.,,,,,,
,,,,,,
Dæmi um forsendur sem valda því að samningar eru ekki teknir með í þessari tölfræði: ,,,,,,
,,,,,,
Byggingarstaða íbúðar við afhendingu er ekki fullbúin. Ef íbúð er seld fullbúin án gólfefna telst hún með hér sem fullbúin.,,,,,,
Sala er milli skyldra aðila.,,,,,,
Verið sé að selja hluta af íbúð.,,,,,,
Forsendur til útreiknings á staðgreiðsluverði eru ófullnægjandi.,,,,,,
Verið sé að selja fleiri en eina fasteign í sama kaupsamningi. ,,,,,,
,,,,,,
Öllum er heimil afnot af gögnunum en vinsamlegast getið heimildar.,,,,,,
