Verð sérbýlis á höfuðborgarsvæðinu eftir árum frá árinu 1981 ,,,,,,
Ár ,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
2014.0,988.0,202.0,51410.0,50529.0,260663.0,256238.0
2013.0,879.0,203.0,48182.0,47216.0,245002.0,240214.0
2012.0,791.0,202.0,46980.0,45839.0,237215.0,231518.0
2011.0,689.0,201.0,45219.0,44102.0,229140.0,223618.0
2010.0,431.0,197.0,44202.0,42442.0,225826.0,216991.0
2009.0,297.0,199.0,47751.0,44764.0,242131.0,227275.0
2008.0,368.0,185.0,48804.0,46511.0,266628.0,254936.0
2007.0,1196.0,192.0,46343.0,44926.0,247235.0,239905.0
2006.0,874.0,191.0,41539.0,40457.0,222420.0,216861.0
2005.0,1139.0,188.0,35038.0,34433.0,191431.0,188330.0
2004.0,1298.0,194.0,25067.0,24730.0,133514.0,131859.0
2003.0,1209.0,195.0,21594.0,21157.0,114871.0,112600.0
2002.0,987.0,190.0,19992.0,18769.0,109010.0,102296.0
2001.0,940.0,190.0,19148.0,17945.0,104404.0,97687.0
2000.0,904.0,192.0,17634.0,16774.0,95924.0,91106.0
1999.0,1090.0,193.0,14896.0,14749.0,80408.0,79656.0
1998.0,1119.0,195.0,12904.0,12518.0,69240.0,67235.0
1997.0,904.0,195.0,12326.0,11545.0,66310.0,62079.0
1996.0,747.0,194.0,11995.0,11160.0,64556.0,60036.0
1995.0,677.0,192.0,12054.0,11107.0,65429.0,60309.0
1994.0,568.0,192.0,12029.0,11305.0,65208.0,61415.0
1993.0,348.0,185.0,11725.0,10684.0,66801.0,60638.0
1992.0,319.0,179.0,11845.0,10773.0,67950.0,61520.0
1991.0,341.0,183.0,11699.0,10351.0,65902.0,58076.0
1990.0,343.0,187.0,11052.0,10013.0,60461.0,54598.0
1989.0,228.0,170.0,8754.0,8282.0,53084.0,50030.0
1988.0,198.0,175.0,7512.0,7307.0,43878.0,42475.0
1987.0,222.0,181.0,5983.0,5763.0,33783.0,32445.0
1986.0,253.0,176.0,4467.0,4105.0,26156.0,24009.0
1985.0,184.0,173.0,3902.0,3608.0,23147.0,21325.0
1984.0,186.0,167.0,3152.0,2926.0,19191.0,17843.0
1983.0,193.0,166.0,2388.0,2161.0,14989.0,13579.0
1982.0,129.0,158.0,1531.0,1365.0,9882.0,8809.0
1981.0,94.0,170.0,925.0,814.0,5541.0,4860.0
,,,,,,
,,,,,,
Makaskiptasamningar með íbúðarhúsnæði eru með í þessari samantekt.,,,,,,
,,,,,,
Breytan fjöldi mengis er sá fjöldi samninga sem er marktækur til útreiknings fasteignaverðs.,,,,,,
,,,,,,
Dæmi um forsendur sem valda því að samningar eru ekki teknir með í þessari tölfræði: ,,,,,,
,,,,,,
Byggingarstaða íbúðar við afhendingu er ekki fullbúin. Ef íbúð er seld fullbúin án gólfefna telst hún með hér sem fullbúin.,,,,,,
Sala er milli skyldra aðila.,,,,,,
Verið sé að selja hluta af íbúð.,,,,,,
Forsendur til útreiknings á staðgreiðsluverði eru ófullnægjandi.,,,,,,
Verið sé að selja fleiri en eina fasteign í sama kaupsamningi. ,,,,,,
,,,,,,
Öllum er heimil afnot af gögnunum en vinsamlegast getið heimildar.,,,,,,
