Svæði,Tegund,Ár,Fjöldi,Meðal-,Meðal-,Meðal-,Meðal kaupv.,Meðal staðgr.v.
,,,,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
SUÐURNES,,,,,,,,
,,,,,,,,
Keflavík,,,,,,,,
,Fjölbýli,,,,,,,
,,1990.0,103.0,89.0,4052.0,3528.0,47.0,41.0
,,1991.0,100.0,87.0,4585.0,3982.0,54.0,47.0
,,1992.0,97.0,82.0,4548.0,4049.0,57.0,51.0
,,1993.0,94.0,87.0,5100.0,4596.0,61.0,55.0
,,1994.0,131.0,88.0,5208.0,4953.0,62.0,59.0
,,1995.0,111.0,88.0,5177.0,4791.0,62.0,57.0
,,1996.0,165.0,92.0,5236.0,4846.0,60.0,56.0
,,1997.0,185.0,92.0,5375.0,5021.0,61.0,57.0
,,1998.0,171.0,88.0,5279.0,5109.0,62.0,61.0
,,1999.0,228.0,90.0,5393.0,5349.0,62.0,62.0
,,2000.0,232.0,93.0,5986.0,5594.0,67.0,63.0
,,2001.0,190.0,93.0,6835.0,6319.0,79.0,73.0
,,2002.0,222.0,96.0,8204.0,7619.0,90.0,83.0
,,2003.0,197.0,100.0,9435.0,9287.0,97.0,95.0
,,2004.0,205.0,95.0,9174.0,9141.0,101.0,101.0
,,2005.0,420.0,96.0,10592.0,10558.0,113.0,112.0
,,2006.0,192.0,98.0,13526.0,13360.0,141.0,139.0
,,2007.0,282.0,97.0,14951.0,14479.0,157.0,152.0
,,2008.0,103.0,96.0,16244.0,15487.0,173.0,165.0
,,2009.0,30.0,92.0,15534.0,14756.0,173.0,164.0
,,2010.0,40.0,105.0,16401.0,15625.0,157.0,150.0
,,2011.0,34.0,103.0,14313.0,13764.0,146.0,141.0
,,2012.0,76.0,104.0,14708.0,14097.0,146.0,139.0
,,2013.0,89.0,105.0,14871.0,14338.0,146.0,140.0
,,2014.0,112.0,102.0,15607.0,15221.0,155.0,152.0
,,,,,,,,
,Sérbýli,,,,,,,
,,1990.0,32.0,154.0,7318.0,6529.0,48.0,43.0
,,1991.0,38.0,154.0,8176.0,7189.0,54.0,48.0
,,1992.0,31.0,155.0,8152.0,7450.0,53.0,48.0
,,1993.0,43.0,165.0,9692.0,8899.0,59.0,54.0
,,1994.0,44.0,155.0,8810.0,8358.0,56.0,53.0
,,1995.0,50.0,162.0,8590.0,8011.0,54.0,50.0
,,1996.0,77.0,160.0,9184.0,8491.0,58.0,54.0
,,1997.0,92.0,160.0,9103.0,8448.0,57.0,53.0
,,1998.0,73.0,164.0,10039.0,9663.0,62.0,59.0
,,1999.0,95.0,166.0,10141.0,10055.0,63.0,62.0
,,2000.0,98.0,166.0,11164.0,10473.0,69.0,65.0
,,2001.0,100.0,171.0,11899.0,10923.0,71.0,65.0
,,2002.0,93.0,160.0,13446.0,12512.0,85.0,79.0
,,2003.0,84.0,172.0,14886.0,14603.0,90.0,88.0
,,2004.0,108.0,170.0,16090.0,15988.0,96.0,96.0
,,2005.0,124.0,168.0,19831.0,19694.0,119.0,119.0
,,2006.0,75.0,164.0,24400.0,23999.0,153.0,150.0
,,2007.0,95.0,169.0,26921.0,25974.0,163.0,157.0
,,2008.0,38.0,183.0,30582.0,29370.0,169.0,162.0
,,2009.0,18.0,175.0,31496.0,29918.0,180.0,171.0
,,2010.0,29.0,173.0,25657.0,24258.0,148.0,140.0
,,2011.0,43.0,181.0,26296.0,24833.0,150.0,141.0
,,2012.0,39.0,166.0,25099.0,24123.0,153.0,147.0
,,2013.0,55.0,170.0,25252.0,24428.0,151.0,146.0
,,2014.0,66.0,170.0,26598.0,26079.0,161.0,158.0
,,,,,,,,
,,,,,,,,
Njarðvík,,,,,,,,
,Fjölbýli,,,,,,,
,,1990.0,21.0,79.0,3919.0,3358.0,51.0,43.0
,,1991.0,39.0,79.0,4088.0,3514.0,52.0,45.0
,,1992.0,12.0,86.0,4863.0,4258.0,59.0,52.0
,,1993.0,27.0,90.0,5234.0,4695.0,61.0,55.0
,,1994.0,33.0,86.0,5513.0,5189.0,65.0,62.0
,,1995.0,27.0,91.0,5616.0,5155.0,66.0,60.0
,,1996.0,61.0,86.0,5161.0,4757.0,62.0,57.0
,,1997.0,47.0,78.0,5156.0,4767.0,68.0,63.0
,,1998.0,56.0,93.0,5390.0,5212.0,61.0,59.0
,,1999.0,68.0,88.0,5526.0,5456.0,65.0,64.0
,,2000.0,69.0,95.0,6204.0,5792.0,69.0,64.0
,,2001.0,78.0,97.0,6845.0,6319.0,75.0,69.0
,,2002.0,52.0,94.0,7889.0,7349.0,86.0,81.0
,,2003.0,45.0,94.0,8399.0,8209.0,94.0,92.0
,,2004.0,43.0,99.0,8533.0,8477.0,89.0,89.0
,,2005.0,169.0,97.0,11545.0,11441.0,121.0,120.0
,,2006.0,102.0,97.0,14993.0,14672.0,157.0,154.0
,,2007.0,192.0,102.0,17517.0,16910.0,174.0,168.0
,,2008.0,96.0,106.0,19744.0,19107.0,188.0,182.0
,,2009.0,31.0,90.0,16810.0,16320.0,188.0,183.0
,,2010.0,31.0,96.0,17448.0,16714.0,179.0,172.0
,,2011.0,23.0,92.0,15515.0,14769.0,169.0,161.0
,,2012.0,42.0,109.0,15518.0,15135.0,144.0,141.0
,,2013.0,50.0,103.0,16342.0,15888.0,162.0,158.0
,,2014.0,86.0,102.0,17268.0,17001.0,175.0,172.0
,,,,,,,,
,Sérbýli,,,,,,,
,,1990.0,6.0,204.0,8841.0,8382.0,44.0,41.0
,,1991.0,10.0,173.0,7425.0,6513.0,44.0,39.0
,,1992.0,9.0,175.0,8883.0,8091.0,53.0,48.0
,,1993.0,20.0,154.0,8126.0,7497.0,64.0,59.0
,,1994.0,25.0,165.0,9728.0,9190.0,59.0,56.0
,,1995.0,11.0,166.0,8004.0,7294.0,49.0,45.0
,,1996.0,27.0,166.0,9055.0,8440.0,55.0,52.0
,,1997.0,20.0,160.0,8911.0,8141.0,56.0,51.0
,,1998.0,22.0,160.0,9350.0,8963.0,59.0,56.0
,,1999.0,43.0,162.0,9855.0,9655.0,61.0,59.0
,,2000.0,38.0,183.0,10958.0,10185.0,61.0,57.0
,,2001.0,24.0,185.0,12169.0,11172.0,69.0,63.0
,,2002.0,33.0,174.0,13052.0,12120.0,76.0,71.0
,,2003.0,29.0,173.0,14145.0,13802.0,83.0,81.0
,,2004.0,49.0,161.0,14473.0,14412.0,91.0,90.0
,,2005.0,64.0,170.0,19720.0,19538.0,118.0,117.0
,,2006.0,43.0,165.0,24430.0,23941.0,152.0,149.0
,,2007.0,93.0,161.0,27320.0,26484.0,173.0,168.0
,,2008.0,36.0,166.0,28713.0,27421.0,180.0,172.0
,,2009.0,21.0,145.0,24712.0,24198.0,170.0,168.0
,,2010.0,14.0,189.0,32029.0,30674.0,174.0,167.0
,,2011.0,28.0,184.0,26341.0,25299.0,148.0,143.0
,,2012.0,34.0,177.0,27106.0,26621.0,156.0,153.0
,,2013.0,44.0,168.0,26149.0,25358.0,155.0,150.0
